Average_Rating,Average_Difficulty,Number_of_Ratings,Received_Pepper,Proportion_Take_Again,Online_Ratings,Male,Female,Major_Field,University,State
3.8,3.1,8.0,1,,0.0,1,0,Languages,College of Staten Island (CUNY - Staten Island),NY
4.6,2.5,13.0,1,88.0,0.0,0,1,English,Cuyahoga Community College (all campuses),OH
3.2,4.1,10.0,0,50.0,0.0,0,1,History,Florida State University,FL
4.0,3.3,8.0,1,67.0,0.0,0,1,Education,Florida Atlantic University,FL
4.4,3.8,8.0,1,100.0,0.0,0,0,Communication,St. John Fisher College,NY
3.2,3.8,9.0,0,,0.0,1,0,Mathematics,California State University Bakersfield (CSUB),CA
4.8,1.2,6.0,1,,0.0,0,0,Social Work,University of Minnesota-Twin Cities,MN
3.1,3.4,13.0,0,,0.0,1,0,Economics,Tufts University,MA
4.0,3.5,8.0,1,100.0,0.0,1,1,English,Baldwin Wallace University,OH
4.1,2.8,15.0,0,,0.0,0,0,Psychology,University of Calgary,AB
4.8,1.3,16.0,1,100.0,1.0,0,1,Communication,Fresno City College,CA
2.0,3.8,9.0,0,40.0,5.0,1,0,Statistics,North Carolina State University,NC
2.3,4.5,6.0,0,,0.0,0,1,Education,Florida International University,FL
3.0,3.4,9.0,0,40.0,0.0,1,0,Biology,Nassau Community College,NY
4.9,1.8,6.0,1,,0.0,1,1,Criminal Justice,Miami Dade College (all),FL
5.0,1.0,6.0,0,,0.0,0,1,Information Technology,Johnson and Wales University,RI
3.5,3.7,6.0,0,,0.0,0,0,English,University of Calgary,AB
4.5,2.7,13.0,0,100.0,0.0,1,0,Philosophy,University of California Berkeley,CA
4.5,2.1,10.0,0,,0.0,1,0,Computer Science  Engineering,University of Texas at Arlington,TX
3.4,2.3,6.0,0,,0.0,1,0,Business,Guilford Technical Community College,NC
2.5,3.6,9.0,0,40.0,0.0,1,0,Health Science,Tallahassee Community College,FL
4.3,2.7,6.0,0,,0.0,0,1,Women's Studies,Rutgers - State University of New Jersey,NJ
4.8,2.7,6.0,1,,2.0,0,1,Linguistics,Fresno City College,CA
5.0,1.6,10.0,0,100.0,0.0,0,0,English,University of South Carolina,SC
4.3,2.8,8.0,0,,1.0,0,1,Psychology,Western Illinois University,IL
4.8,3.0,28.0,1,100.0,19.0,0,1,Nursing,Grand Canyon University,AZ
4.0,3.4,10.0,0,57.0,5.0,1,0,Art,Dixie State University,UT
4.5,3.5,6.0,0,,2.0,1,0,Accounting,Walsh College,MI
4.7,1.8,7.0,1,100.0,4.0,0,0,Sociology,Joliet Junior College,IL
2.5,4.5,12.0,0,43.0,0.0,0,1,Classics,San Diego State University,CA
5.0,2.0,12.0,1,100.0,0.0,1,0,Business,Auburn University,AL
4.1,3.5,11.0,0,80.0,0.0,0,1,Marketing,Concordia University,QC
2.8,3.5,6.0,0,17.0,0.0,1,1,Computer Science,University of Texas at Arlington,TX
5.0,1.2,6.0,1,,0.0,0,1,English,Arizona State University,AZ
3.5,3.0,12.0,0,44.0,0.0,1,0,Mathematics,West Los Angeles College,CA
3.3,3.4,7.0,0,,0.0,0,0,Asian Studies,University of Utah,UT
3.6,2.7,7.0,0,,0.0,1,0,Economics,Long Island University,NY
3.6,3.8,9.0,0,,6.0,0,0,Business,University of North Texas,TX
4.6,3.3,7.0,1,100.0,0.0,1,0,Mathematics,University of Utah,UT
4.3,2.0,25.0,0,100.0,9.0,0,1,Music,University of Utah,UT
4.3,1.6,7.0,0,80.0,1.0,0,0,Biological Sciences,Broward College (all campuses),FL
3.5,4.0,9.0,0,83.0,0.0,0,1,Anthropology,Colorado College,CO
3.7,2.8,18.0,0,80.0,1.0,0,0,Mathematics,Murray State University,KY
3.2,2.8,12.0,1,86.0,0.0,1,0,Business,University of Arizona,AZ
1.7,4.6,7.0,0,,0.0,0,0,Accounting,University of Wisconsin - Oshkosh,WI
4.6,2.5,10.0,0,75.0,1.0,1,0,Information Systems,Northern Virginia Community College (all campuses),VA
3.4,3.8,9.0,0,,0.0,1,0,Technical Communication,University of North Texas,TX
3.0,4.1,8.0,0,,1.0,1,0,Mathematics  Science,Solano Community College (all campuses),CA
4.2,2.0,6.0,1,,0.0,0,0,Mathematics,SUNY Cortland,NY
3.0,3.6,13.0,1,40.0,0.0,1,0,Political Science,University of California Riverside,CA
2.2,3.0,7.0,0,,0.0,1,0,Psychology,George Mason University,VA
3.5,2.1,19.0,0,69.0,2.0,0,1,Criminal Justice,University of Alabama,AL
4.6,2.4,23.0,1,86.0,0.0,0,0,Science,John Jay College of Criminal Justice,NY
4.8,3.5,6.0,1,,0.0,0,1,Sociology,Pennsylvania State University,PA
4.8,2.9,11.0,1,100.0,0.0,0,1,American Sign Language,Bakersfield College,CA
2.4,3.2,7.0,0,,0.0,0,1,Biological Sciences,University of California Irvine,CA
2.9,3.6,7.0,0,,0.0,0,0,Humanities,Columbus State Community College,OH
4.2,1.9,10.0,0,67.0,1.0,1,0,Accounting,Polk State College,FL
2.5,3.7,7.0,0,,2.0,1,0,Computer Science,Georgia Southwestern State University,GA
4.5,2.2,31.0,1,92.0,0.0,1,0,English,Broward College (all campuses),FL
2.9,3.7,8.0,0,,0.0,0,0,Chemistry,Golden West College,CA
3.5,3.5,11.0,1,,0.0,1,0,Finance,University of Colorado-Boulder,CO
4.9,1.5,10.0,0,,0.0,1,0,Business,University of Michigan - Dearborn,MI
4.2,2.3,15.0,0,,0.0,0,0,Government,Lone Star College (all),TX
4.9,1.9,10.0,0,,1.0,0,1,Computer Science,Florence-Darlington Technical College,SC
5.0,2.5,6.0,0,,0.0,1,0,Chemistry,Seminole State College,FL
4.6,2.6,10.0,0,,0.0,0,0,Social Sciences,Miami Dade College (all),FL
3.6,3.7,8.0,0,50.0,0.0,0,1,Design,Parsons The New School For Design,NY
2.7,1.8,6.0,0,,0.0,1,0,Government,"California State University, Sacramento",CA
2.4,3.6,8.0,0,,0.0,0,0,Mathematics,University of Minnesota-Twin Cities,MN
4.5,2.6,20.0,1,85.0,0.0,1,0,English,College of San Mateo,CA
4.9,2.6,8.0,1,,0.0,0,0,Mathematics,Lewis and Clark College,OR
4.0,3.5,19.0,1,75.0,1.0,0,1,Statistics,John Jay College of Criminal Justice,NY
4.4,2.5,18.0,1,100.0,0.0,1,0,French,Texas A&M University at College Station,TX
3.0,2.6,7.0,1,,0.0,0,0,Finance,Sam Houston State University,TX
2.5,3.7,7.0,0,40.0,0.0,1,0,Physics,Illinois State University,IL
3.2,3.1,8.0,0,63.0,0.0,0,0,Sociology,Simon Fraser University,BC
4.3,3.9,17.0,0,100.0,0.0,1,0,History,San Francisco State University,CA
4.4,2.3,6.0,0,,2.0,0,0,Chicano Studies,Metropolitan State University of Denver,CO
2.2,3.1,9.0,0,,0.0,0,0,Economics,University of Connecticut,CT
2.3,3.1,13.0,0,20.0,0.0,1,0,Fine Arts,Moraine Valley Community College,IL
5.0,2.0,110.0,1,100.0,0.0,0,1,Academic Development,Bakersfield College,CA
4.8,1.9,8.0,0,100.0,0.0,1,0,Art,St. John's University,NY
4.7,2.3,23.0,1,100.0,3.0,0,1,Sociology,Mt. San Antonio College,CA
4.4,1.8,8.0,1,,0.0,0,1,Business Communications,Arizona State University,AZ
4.5,2.8,6.0,0,,0.0,0,1,Psychology,Chapman University,CA
3.2,4.0,18.0,0,50.0,2.0,0,0,Accounting,Portland State University,OR
4.9,1.9,15.0,0,91.0,0.0,0,1,Music,Salt Lake Community College,UT
4.6,2.6,7.0,0,,4.0,0,0,Business,Cañada College,CA
4.8,2.5,6.0,0,,0.0,0,1,Peace Studies,University of New Mexico,NM
3.7,3.9,9.0,1,67.0,0.0,1,0,Mathematics,University of Minnesota-Twin Cities,MN
4.8,3.4,27.0,1,90.0,0.0,1,0,Political Science,University of Massachusetts,MA
4.3,3.2,6.0,0,,0.0,1,0,Biological Sciences,University of California Irvine,CA
4.2,2.3,12.0,0,,0.0,0,0,Computer Information Systems,Arizona State University,AZ
4.0,2.2,18.0,0,67.0,0.0,1,0,Sociology,University of Alberta,AB
4.5,1.8,8.0,1,,0.0,0,0,Political Science,University of North Florida,FL
4.6,3.6,8.0,0,,0.0,0,1,Biology,Columbus State Community College,OH
3.3,3.8,8.0,1,,0.0,1,0,International Relations,American University,DC
3.7,2.6,24.0,1,71.0,11.0,1,0,Humanities,St. Johns River State College,FL
4.7,1.6,10.0,0,100.0,0.0,0,1,English,University of Southern California,CA
4.8,1.9,44.0,1,100.0,9.0,0,0,Speech,Lone Star College (all),TX
4.3,3.3,12.0,0,83.0,0.0,0,1,Writing,Florida State University,FL
4.0,3.0,9.0,0,,0.0,0,0,Anatomy,St. Petersburg College (all campuses),FL
4.8,2.3,51.0,1,100.0,0.0,1,0,History,Richland College,TX
4.0,3.7,12.0,0,82.0,0.0,0,1,History,College of Staten Island (CUNY - Staten Island),NY
3.2,3.6,10.0,0,,0.0,1,0,Geography,York University (all campuses),ON
2.5,3.5,12.0,0,50.0,3.0,1,1,Physics,North Idaho College,ID
4.8,2.3,46.0,0,100.0,0.0,1,0,Business,Mountain View College,TX
5.0,3.1,13.0,1,100.0,0.0,0,1,English,Rowan University,NJ
4.1,1.4,9.0,1,,0.0,0,0,Humanities,Emory University,GA
4.5,3.2,6.0,0,,0.0,0,0,Psychology,Eastern Kentucky University,KY
3.3,3.8,38.0,0,55.0,1.0,1,0,Accounting,Rutgers - State University of New Jersey,NJ
3.2,3.7,6.0,0,,0.0,1,0,History,Temple University,PA
3.9,3.0,12.0,0,75.0,0.0,0,0,Mathematics,Georgia Gwinnett College,GA
2.7,3.6,11.0,0,80.0,0.0,1,0,Physics,The Ohio State University,OH
3.1,3.6,8.0,0,,0.0,0,0,Biology,Georgia Gwinnett College,GA
5.0,2.5,6.0,1,,3.0,1,1,Accounting,Shelton State Community College,AL
3.3,3.8,14.0,0,83.0,0.0,0,1,Biology,Metropolitan Community College,NE
1.5,3.6,11.0,0,,0.0,0,0,Human Resources Management,Universite du Quebec a Montreal,QC
4.5,2.4,10.0,1,,0.0,1,0,Mathematics,Angelo State University,TX
4.2,2.7,6.0,0,,5.0,0,1,Spanish,Valencia College - East and West Campus,FL
4.0,4.0,13.0,1,,1.0,1,0,Biology,Community College of Baltimore County - Essex,MD
5.0,3.2,6.0,1,,0.0,1,0,Philosophy,Crafton Hills College,CA
4.4,1.7,12.0,0,80.0,5.0,1,0,Mathematics,Mountain View College,TX
3.3,2.4,8.0,0,,6.0,1,0,Sociology,Austin Peay State University,TN
4.3,2.6,14.0,0,71.0,0.0,1,0,Humanities,St. John's University,NY
4.0,2.5,6.0,0,,0.0,1,0,Business,East Stroudsburg University,PA
4.3,2.0,6.0,0,,0.0,0,1,Business,St. John's University,NY
3.6,2.2,12.0,0,,0.0,0,1,History,Chaffey College (all campuses),CA
4.6,3.2,15.0,1,100.0,0.0,1,0,Psychology,Central New Mexico Community College,NM
4.4,2.2,10.0,0,100.0,4.0,0,0,Health Science,University of Houston,TX
1.0,4.8,27.0,0,,0.0,1,0,Geography,Cincinnati State,OH
3.3,2.8,9.0,1,,1.0,0,1,Nutrition,Miami Dade College (all),FL
4.5,1.9,8.0,1,83.0,0.0,1,0,Film,Miami Dade College (all),FL
4.5,2.2,14.0,1,90.0,0.0,1,0,History,St. John's University,NY
3.7,3.9,10.0,0,,0.0,1,0,English,Kansas State University,KS
3.9,3.8,7.0,0,,0.0,1,0,Engineering,Youngstown State University,OH
4.3,1.8,10.0,0,,0.0,1,0,Science,Florida State University,FL
2.8,3.6,21.0,0,57.0,0.0,0,1,Psychology,University of Ottawa,ON
4.7,1.6,7.0,0,,2.0,1,0,English,Clark State Community College,OH
4.9,1.7,6.0,0,,0.0,0,1,Accounting,Saginaw Valley State University,MI
2.2,3.5,7.0,0,,0.0,0,0,Biology,Northern Virginia Community College (all campuses),VA
4.9,1.6,8.0,1,,0.0,1,0,Social Science,Erie Community College: North Campus,NY
3.5,2.7,10.0,0,50.0,0.0,1,0,Management,University of Texas at San Antonio,TX
4.5,2.9,12.0,1,100.0,0.0,0,1,English,Vancouver Island University,BC
3.7,2.9,9.0,1,88.0,3.0,0,1,Mathematics,Weatherford College,TX
4.7,2.5,34.0,1,100.0,0.0,0,1,Business,Oakland Community College - Orchard Ridge,MI
4.0,2.5,7.0,0,,0.0,1,0,Biology,Richland College,TX
4.7,2.5,11.0,1,80.0,0.0,0,0,Communication,El Camino College,CA
3.1,2.7,25.0,1,50.0,4.0,1,0,Anthropology,Arizona State University,AZ
3.8,2.2,15.0,0,91.0,0.0,1,0,Aerospace Studies,Iowa State University,IA
4.3,3.2,7.0,0,,5.0,0,1,Information Science,County College of Morris,NJ
1.3,4.6,10.0,0,,0.0,0,1,Education,Worcester State University,MA
2.6,4.2,10.0,0,,0.0,0,1,English,Pellissippi State Community College,TN
4.8,2.6,63.0,1,100.0,8.0,0,1,English,College of Southern Nevada (all campuses),NV
5.0,1.7,8.0,1,,0.0,1,0,Writing,The College of New Jersey,NJ
4.5,2.1,13.0,0,100.0,2.0,1,0,Social Science,Oklahoma State University,OK
3.8,2.6,14.0,1,,0.0,0,0,Computer Science,California State University Fullerton,CA
3.8,2.9,7.0,0,,0.0,0,1,Speech  Theatre,Harper College,IL
3.8,3.2,23.0,0,78.0,0.0,0,1,Biology,Miami Dade College (all),FL
3.0,3.7,10.0,0,,1.0,0,0,Economics,Austin Community College,TX
4.3,2.5,6.0,0,,0.0,0,0,Computer Information Systems,University of Texas Rio Grande Valley (all campuses),TX
3.0,3.3,7.0,0,,0.0,0,0,Engineering,Louisiana State University,LA
4.8,1.6,21.0,1,100.0,1.0,0,1,Psychology,Florida State College at Jacksonville,FL
3.3,4.3,6.0,0,,0.0,1,0,Humanities,University of North Carolina at Asheville,NC
3.1,3.3,10.0,0,,0.0,1,0,Accountancy,East Tennessee State University,TN
4.1,2.7,7.0,0,,0.0,0,0,Philosophy,York University (all campuses),ON
2.9,3.8,7.0,0,,6.0,0,1,Biology,University of Maryland University College,MD
4.7,1.8,10.0,1,,3.0,1,0,Architecture,Texas A&M University at College Station,TX
3.8,3.2,11.0,1,,7.0,0,1,Business,Lone Star College (all),TX
4.7,2.5,16.0,1,100.0,1.0,0,0,Education,Bristol Community College (all campuses),MA
4.7,1.9,15.0,0,89.0,1.0,0,1,Sociology,County College of Morris,NJ
4.8,2.1,17.0,1,100.0,1.0,0,1,Biology,Central Connecticut State University,CT
1.3,4.6,23.0,0,,0.0,1,1,Biology,SUNY Plattsburgh,NY
4.5,2.7,12.0,1,91.0,0.0,0,1,Psychology,George Mason University,VA
4.5,2.3,9.0,0,100.0,8.0,0,1,Geology,Palm Beach State College (all campuses),FL
4.8,2.5,12.0,0,100.0,0.0,0,1,English,Rowan College at Gloucester County,NJ
5.0,2.9,27.0,1,95.0,0.0,0,0,Mathematics,Los Angeles Valley College,CA
4.9,3.1,20.0,1,100.0,0.0,1,0,Journalism,University of Kansas,KS
3.7,3.4,9.0,0,63.0,8.0,1,1,Religion,University of New Mexico,NM
5.0,2.3,6.0,0,,0.0,0,1,Languages,Saint Louis University,MO
4.0,3.3,10.0,0,,1.0,1,0,Mathematics,Old Dominion University,VA
4.0,2.2,9.0,1,,0.0,0,1,Geography,Bloomsburg University,PA
4.5,1.8,12.0,1,100.0,0.0,0,1,Languages,Appalachian State University,NC
2.5,3.2,12.0,0,,0.0,0,0,Economics,University of Southern California,CA
3.3,2.6,7.0,0,,3.0,0,1,Political Science,Cuyahoga Community College (all campuses),OH
4.8,2.4,9.0,1,,4.0,0,0,Psychology,Columbia University,NY
2.5,3.4,7.0,0,,0.0,1,0,Allied Health,Nassau Community College,NY
4.7,2.0,27.0,1,100.0,0.0,1,0,Philosophy,California State University Fullerton,CA
4.7,1.8,9.0,0,100.0,0.0,1,0,Political Science,Utah Valley University,UT
4.9,2.4,8.0,1,100.0,0.0,0,1,Speech,Ohlone College,CA
4.4,3.0,7.0,0,100.0,0.0,1,0,English,Glendale Community College,AZ
3.0,2.3,27.0,0,53.0,0.0,1,0,Journalism,Kent State University,OH
3.8,3.8,8.0,0,,2.0,1,0,Political Science,Northern Illinois University,IL
4.8,1.8,6.0,1,,1.0,1,0,Business,University of South Carolina-Aiken,SC
4.3,3.0,6.0,1,,0.0,1,0,Information Systems,"University of Maryland, Baltimore County",MD
1.1,4.7,9.0,0,,1.0,0,0,Mathematics,Folsom Lake College,CA
3.6,2.6,7.0,0,,0.0,1,0,Business,University of Southern California,CA
3.7,3.1,10.0,1,100.0,0.0,0,0,Mathematics,Worcester Polytechnic Institute,MA
3.7,3.7,7.0,1,,0.0,0,1,Biology,Ocean County College,NJ
4.6,4.0,23.0,1,100.0,0.0,1,0,Nursing,Delgado Community College (ALL),LA
3.7,3.3,23.0,0,83.0,0.0,0,1,Fashion,Savannah College of Art and Design,GA
4.2,2.5,11.0,0,71.0,0.0,1,0,Speech,Tulsa Community College,OK
4.2,2.8,10.0,0,100.0,0.0,0,0,Textiles  Consumer Sciences,Fashion Institute of Technology,NY
3.8,2.8,56.0,0,77.0,6.0,0,0,Religion,Salt Lake Community College,UT
3.6,3.4,7.0,1,,0.0,0,0,Mathematics,Arizona State University - Polytechnic Campus,AZ
2.1,4.1,7.0,0,,0.0,1,0,Journalism,Rowan University,NJ
4.5,2.8,6.0,0,,0.0,1,0,Business,Texas Tech University,TX
4.7,2.7,6.0,0,,0.0,1,0,Mathematics,University of Nebraska-Lincoln,NE
2.8,3.3,6.0,0,,1.0,0,1,Education,Texas A&M University at College Station,TX
3.0,4.0,10.0,0,80.0,0.0,0,1,Nursing,Delta College,MI
4.2,3.0,6.0,0,,0.0,0,1,English,University of Memphis,TN
2.5,5.0,6.0,0,,0.0,1,0,Accounting,University of Massachusetts,MA
4.8,1.3,8.0,0,,0.0,1,0,Computer Information Systems,Harper College,IL
4.0,1.4,7.0,0,,0.0,0,0,Information Technology,Green River College,WA
3.9,2.7,6.0,1,,0.0,1,0,Economics,Middle Tennessee State University,TN
4.2,3.7,6.0,0,,0.0,1,0,Mathematics,University of Mississippi,MS
3.2,2.6,14.0,0,46.0,1.0,0,0,Economics,Northern Virginia Community College (all campuses),VA
2.3,2.5,11.0,0,33.0,0.0,0,1,Human Environmental Science,University of Arkansas,AR
2.9,3.2,6.0,0,,1.0,0,0,Business,Tarleton State University,TX
4.7,2.4,11.0,1,,0.0,1,0,Criminal Justice,Northwest Vista College,TX
4.8,2.2,9.0,1,,0.0,0,0,Accounting,Cosumnes River College,CA
3.5,3.6,13.0,1,75.0,3.0,1,1,English,Faulkner State Community College,AL
4.6,2.7,10.0,0,100.0,4.0,1,0,Education,Florida Atlantic University,FL
4.8,2.0,11.0,1,100.0,0.0,1,0,Design,George Mason University,VA
4.6,2.3,11.0,1,,0.0,0,0,Accounting,Arizona State University,AZ
4.6,2.2,14.0,0,86.0,1.0,1,1,Languages,Union County College,NJ
4.6,3.5,15.0,1,100.0,0.0,1,0,Applied Mathematics,University of Colorado-Boulder,CO
4.4,2.9,14.0,1,100.0,0.0,0,1,Communication,Stephen F. Austin State University,TX
4.3,3.2,12.0,1,,0.0,0,1,Education,Lehman College,NY
4.6,2.0,8.0,1,,0.0,0,0,International Studies,Texas A&M University at College Station,TX
4.2,2.8,14.0,1,90.0,0.0,1,0,Mathematics,Metropolitan Community College: Maple Woods,MO
4.5,3.3,12.0,0,100.0,0.0,1,0,Accountancy  Taxation,University of Houston,TX
3.5,2.8,6.0,1,,0.0,1,0,Art History,Pennsylvania State University,PA
4.6,3.5,14.0,1,100.0,0.0,1,0,Biology,Mount Saint Mary's University,CA
3.8,1.4,9.0,1,80.0,0.0,0,1,Religion,Christopher Newport University,VA
4.5,2.6,14.0,0,,0.0,0,1,English,Irvine Valley College,CA
5.0,1.2,7.0,1,100.0,0.0,1,0,Information Technology,"Minnesota State University, Mankato",MN
4.3,3.4,11.0,0,,0.0,0,0,Physics,Cleveland State University,OH
3.8,3.2,6.0,0,,0.0,0,0,Marketing,Syracuse University,NY
3.3,3.5,8.0,1,80.0,0.0,1,0,Philosophy,California State University Dominguez Hills,CA
4.8,2.3,6.0,1,,1.0,0,1,Sociology,University of Utah,UT
3.5,1.8,11.0,1,80.0,0.0,1,1,English,California State University Fresno,CA
3.8,3.3,11.0,0,88.0,0.0,0,1,English,Modesto Junior College,CA
3.6,2.7,16.0,0,63.0,0.0,1,0,Anthropology,McMaster University,ON
4.1,1.9,16.0,0,85.0,0.0,0,0,History,Georgia Southern University,GA
4.2,3.4,14.0,0,78.0,0.0,0,1,Social Science,McMaster University,ON
4.6,2.0,7.0,0,,0.0,0,1,Counseling,University of Nevada- Reno,NV
4.6,1.4,8.0,1,,0.0,0,0,Music,University of Massachusetts,MA
4.8,2.2,6.0,0,,0.0,1,0,Computer Science,ITT Technical Institute - Tampa,FL
4.6,2.3,7.0,1,,0.0,1,0,English,University of Victoria,BC
4.4,2.6,7.0,1,,0.0,0,1,English,Cypress College,CA
3.9,4.4,16.0,1,,0.0,1,0,Chemistry,California State University San Marcos,CA
3.1,3.6,7.0,0,,0.0,0,0,Engineering Technology,Seneca College of Applied Arts and Technology-ALL,ON
5.0,2.7,6.0,0,,0.0,0,1,Science,Madison Area Technical College,WI
4.4,1.6,14.0,0,100.0,0.0,1,0,English,Kennesaw State University,GA
4.8,3.3,8.0,0,,0.0,0,0,Nursing,Harper College,IL
4.3,2.4,30.0,1,96.0,3.0,0,1,Psychology,Florida International University,FL
2.6,3.8,12.0,0,,0.0,1,0,History,Middle Tennessee State University,TN
4.8,2.0,6.0,0,,0.0,1,0,English,Westchester Community College,NY
5.0,1.5,8.0,1,,0.0,0,1,Communication,San Diego Mesa College,CA
4.4,3.1,28.0,1,92.0,0.0,1,0,History,Queensborough Community College,NY
4.8,2.2,14.0,1,,0.0,1,0,Japanese,Hunter College,NY
3.5,3.7,11.0,0,60.0,1.0,0,0,Physics,Northern Virginia Community College (all campuses),VA
3.2,3.5,6.0,0,,1.0,0,0,Mathematics,University of West Florida,FL
4.0,3.2,6.0,0,,0.0,1,0,Marketing,Marquette University,WI
3.5,4.1,7.0,0,,0.0,0,0,Biology,Virginia Western Community College,VA
4.8,4.0,6.0,1,100.0,0.0,1,0,Chemistry,University of Mississippi,MS
4.8,1.8,8.0,0,,0.0,1,0,Philosophy,University of Central Florida,FL
4.4,2.4,7.0,0,80.0,0.0,0,1,Art,Utah Valley University,UT
2.8,3.6,11.0,1,60.0,0.0,1,0,Biology,North Dakota State University,ND
4.3,2.9,10.0,1,80.0,1.0,1,0,English,Volunteer State Community College,TN
4.8,2.4,9.0,0,100.0,0.0,1,0,Management,University of Central Florida,FL
4.4,3.1,12.0,1,100.0,0.0,0,1,Mathematics,University of Massachusetts - Boston,MA
4.2,3.5,11.0,0,71.0,0.0,1,1,Biochemistry,Wayne State University,MI
4.4,2.7,9.0,0,80.0,1.0,0,1,Communication,Northern Virginia Community College (all campuses),VA
2.9,4.0,6.0,1,,0.0,1,0,Marketing,University of Massachusetts,MA
5.0,2.1,7.0,1,,0.0,1,0,Statistics,University of Wisconsin - Madison,WI
3.8,2.6,30.0,1,86.0,0.0,1,0,Economics,Purdue University - West Lafayette,IN
3.5,2.6,11.0,0,60.0,0.0,0,0,Communication,University of Louisiana at Lafayette,LA
2.1,4.0,6.0,0,,0.0,0,0,Chemistry,Collin College,TX
3.9,3.3,6.0,0,,0.0,0,1,Nursing,Saint Paul's School of Nursing,NY
4.2,3.1,9.0,0,100.0,0.0,0,1,Mechanical Engineering,University of Minnesota-Twin Cities,MN
5.0,2.2,11.0,1,100.0,0.0,1,0,Psychology,Georgia State University Perimeter College - Dunwoody,GA
2.0,3.7,6.0,0,40.0,3.0,0,1,English,Texas Woman's University,TX
5.0,2.1,19.0,1,100.0,0.0,0,1,Psychology,Towson University,MD
2.6,4.6,9.0,0,33.0,0.0,1,0,Accounting,Weber State University,UT
1.8,3.7,6.0,0,,0.0,0,0,Chemistry,University of Windsor,ON
4.3,3.2,6.0,0,,0.0,0,1,Languages,Loyola University Maryland,MD
3.4,4.0,11.0,0,80.0,0.0,1,0,Mathematics,Georgia Institute of Technology,GA
4.3,2.7,13.0,0,89.0,0.0,1,0,Biology,Stephen F. Austin State University,TX
3.7,3.0,7.0,1,,0.0,0,1,English,Coastal Carolina Community College,NC
4.0,1.8,24.0,0,88.0,0.0,0,1,English,University of Texas at San Antonio,TX
4.3,3.0,9.0,1,,0.0,1,0,Accounting,Santa Barbara City College,CA
3.2,2.9,11.0,0,43.0,0.0,1,0,Engineering,Middlesex County College,NJ
3.9,3.6,16.0,0,100.0,0.0,0,0,Physics,Fulton-Montgomery Community College,NY
2.9,3.3,6.0,0,,0.0,0,0,Sociology,San Diego State University,CA
5.0,1.8,10.0,0,100.0,7.0,0,1,Sociology,University of North Texas: Dallas Campus,TX
4.5,2.0,12.0,1,100.0,2.0,0,1,History,Palm Beach State College (all campuses),FL
4.2,3.0,6.0,1,,0.0,1,0,History,Binghamton University (SUNY),NY
4.7,1.7,14.0,0,100.0,2.0,1,0,Sociology,University of Texas at El Paso,TX
4.3,1.7,6.0,1,,0.0,1,0,Biology,University of the Incarnate Word,TX
4.5,3.0,22.0,0,,0.0,0,1,English,Merced College,CA
3.4,3.0,9.0,0,50.0,0.0,1,0,Religion,Fairfield University,CT
2.5,4.1,7.0,0,,0.0,0,1,Mathematics,Central Piedmont Community College,NC
3.0,2.4,9.0,0,67.0,0.0,0,1,Management,North Carolina State University,NC
4.8,1.3,6.0,0,,0.0,1,1,Computer Science,Middlesex County College,NJ
4.2,3.4,57.0,1,72.0,0.0,1,0,History,University of Texas at Austin,TX
3.4,2.2,7.0,1,,1.0,0,0,Languages,Shelton State Community College,AL
4.6,2.0,9.0,0,83.0,0.0,0,1,Art,Salt Lake Community College,UT
3.8,4.3,6.0,0,,0.0,1,0,Political Science,University of Southern California,CA
3.8,3.5,14.0,0,63.0,4.0,0,1,Mathematics,Wake Technical Community College,NC
4.7,1.6,7.0,0,100.0,0.0,1,0,Student Development,Northern Virginia Community College (all campuses),VA
4.7,3.1,7.0,0,,5.0,1,0,Foreign Languages  Literature,State College of Florida Manatee-Sarasota,FL
2.9,3.5,6.0,0,,0.0,0,1,Sociology,Ohio University: Chillicothe Campus,OH
5.0,2.9,9.0,0,100.0,0.0,0,1,Psychology,Monmouth University,NJ
3.7,1.3,6.0,0,,0.0,0,0,Nursing,University of Wisconsin - Milwaukee,WI
3.9,2.7,7.0,0,,0.0,1,0,Communication Disorders,Louisiana State University,LA
4.4,3.1,9.0,1,100.0,3.0,1,1,English,Metropolitan Community College-Penn Valley,MO
1.3,4.6,11.0,0,,0.0,1,0,Music,Framingham State University,MA
4.7,1.9,11.0,1,,0.0,0,1,Human Communication,California State University Fullerton,CA
5.0,1.1,8.0,1,,0.0,0,1,Criminal Justice,Rutgers - State University of New Jersey,NJ
4.6,2.6,7.0,1,,2.0,0,1,Communication,Minneapolis Community and Technical College,MN
2.7,3.3,6.0,1,60.0,0.0,0,0,Physical Education,Winona State University,MN
4.7,2.1,9.0,1,100.0,1.0,1,0,Accounting,University of Arkansas at Little Rock,AR
4.3,3.6,15.0,0,90.0,0.0,0,1,International Studies,University of Ottawa,ON
3.8,3.5,16.0,0,73.0,0.0,0,1,Mathematics,Bakersfield College,CA
4.8,2.3,20.0,0,100.0,0.0,0,0,Biology,Midlands Technical College,SC
3.0,4.0,20.0,0,73.0,0.0,1,0,Philosophy,Lone Star College (all),TX
4.2,3.5,9.0,1,88.0,0.0,1,0,English,Tulsa Community College,OK
3.7,3.1,12.0,1,73.0,0.0,0,0,Communication,Arizona State University,AZ
3.1,3.3,7.0,0,50.0,0.0,1,0,International Studies,Iowa State University,IA
2.8,4.3,12.0,0,,0.0,0,0,Economics,Iowa State University,IA
